"","track_name","track_id","artist_name","duration_ms","popularity","explicit","album_name","album_id","release_date","playlist_name","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","time_signature"
"49","Waves","6INWpNHjafs6xAyOZss7Gj","Culture Jam",146493,52,TRUE,"Kawhi Leonard Presents: Culture Jam (Vol. 1)","5QkoMINx6wyDn80AIOnErN",2021-10-22,"chasin paper",0.824,0.484,1,-5.618,1,0.07,0.0361,0,0.0592,0.148,77.039,4
"50","Diamonds On Me (feat. Gunna, & Yella Beezy)","5kWJB3rEbBnNUMyPLdtJdw","DaniLeigh",228174,50,TRUE,"MOVIE","4d9fUkdY8BOJK0awqObMs6",2020-11-13,"chasin paper",0.853,0.627,5,-7.007,1,0.0344,0.257,5.1e-06,0.108,0.654,127.011,4
"51","Real Friends","66Q3fAmSX5eHamgbKa9alP","Kanye West",251573,66,TRUE,"The Life Of Pablo","7gsWAHLeT0w7es6FofOXk1",2016-06-10,"chasin paper",0.441,0.744,6,-6.248,0,0.476,0.262,0.000382,0.138,0.124,81.396,4
"52","Crypto (feat. Rich The Kid)","6psP05MMEYxyJ54qdGEnOU","Takeoff",160948,57,TRUE,"Crypto (feat. Rich The Kid)","5UKyIgRyqHXI08xf1HrQ7O",2022-03-11,"chasin paper",0.883,0.606,1,-4.421,1,0.238,0.267,0,0.0952,0.495,119.954,4
"53","JUGGERNAUT (feat. Lil Uzi Vert & Pharrell Williams)","7z4xW9WY86uH3gd1V9pfCM","Tyler, The Creator",146419,70,TRUE,"CALL ME IF YOU GET LOST","45ba6QAtNrdv6Ke4MFOKk9",2021-06-25,"chasin paper",0.827,0.571,11,-7.949,1,0.366,0.0195,0,0.166,0.62,142.034,4
"54","E-ER (feat. Lil Yachty)","4N7i6RfJXMWfkx9Zr6pzkJ","DJ Scheme",163384,71,TRUE,"FAMILY","7CUmEkXzsnL13LU8XQnlbC",2020-12-04,"chasin paper",0.952,0.29,8,-11.459,1,0.428,0.074,0,0.107,0.394,130.083,4
"55","Scared Money (feat. J. Cole and Moneybagg Yo)","4heBcjj4Lw3X2sQVFNbLbz","YG",204285,71,TRUE,"Scared Money","3TsYjPFN8qCxcYWHL3DtL8",2022-02-04,"chasin paper",0.898,0.58,8,-7.632,0,0.26,0.0101,0,0.169,0.661,84.018,4
"56","Down Bad (feat. JID, Bas, J. Cole, EARTHGANG & Young Nudy)","36J0iaPDGbYGsHvYpaYs3k","Dreamville",169146,65,TRUE,"Revenge Of The Dreamers III","2n3quCZ0anEa46j2IveacI",2019-07-05,"chasin paper",0.761,0.586,0,-5.368,1,0.359,0.0392,0,0.0558,0.719,149.804,4
"57","Down South (feat. Yella Beezy & Maxo Kream)","3iBTlAs9ki435FDkt7LXUA","Wale",239202,49,TRUE,"Folarin II","1GyvDV1vj6x3GH61CNRv3H",2021-10-22,"chasin paper",0.743,0.752,1,-6.143,1,0.292,0.123,0,0.137,0.473,180.366,4
"58","Bam","6Iuh3vNjpWhSeHM3RZgzQL","JAY-Z",234973,57,TRUE,"4:44","7GoZNNb7Yl74fpk8Z6I2cv",2017-07-07,"chasin paper",0.639,0.788,6,-2.879,1,0.35,0.455,0,0.058,0.847,155.913,4
"59","Guap","1wcWdMlLjzp7Rx25JJN7c4","Big Sean",271760,0,TRUE,"Guap","2lCM0giF5meapslmQwWsrh",2012-01-01,"chasin paper",0.65,0.741,1,-5.842,1,0.184,0.322,0,0.422,0.575,146.175,4
